track_uri,popularity,danceability,energy,speechiness,instrumentalness,liveness,loudness,tempo,valence
spotify:track:5PjfMmF06QtxTPZBZHdhoZ,60,0.624,0.458,0.0287,3.89e-06,"(0.311,)",-6.755,80.016,0.436
spotify:track:7AYP21Q4qnxw2WxETEvSRb,71,0.34,0.684,0.044,0.0,"(0.348,)",-6.306,112.969,0.556
spotify:track:5SiPoinWnJiHYKQN689kOd,39,0.541,0.257,0.0377,0.928,"(0.11,)",-10.112,179.973,0.189
spotify:track:6MZDfwD7bluuMbcKGyeWyg,0,0.547,0.913,0.0377,0.0,"(0.225,)",-5.056,96.007,0.607
spotify:track:5guPWQ0fh1VebSJC51AIxd,21,0.453,0.445,0.0266,0.000184,"(0.108,)",-7.702,71.967,0.12
spotify:track:3OdkC5pG8vc26S26qHyBo8,65,0.663,0.731,0.0338,0.0502,"(0.293,)",-7.335,97.025,0.356
spotify:track:28EBwvEGsv6Ydb3JZsAwwt,31,0.51,0.606,0.0635,0.0,"(0.209,)",-4.986,90.93,0.445
spotify:track:65vO6OsYI64iZnLozfqg5J,39,0.499,0.341,0.0259,0.0,"(0.0857,)",-9.125,142.024,0.18
spotify:track:7yyDYbyS8DVawBsYCEzGCg,0,0.313,0.32,0.0292,0.0,"(0.105,)",-9.952,98.046,0.395
spotify:track:74lnM5V6ecvoTPV0fvptx9,77,0.808,0.617,0.442,0.0,"(0.734,)",-9.32,149.962,0.632
spotify:track:2L0B42R9RNk5Wx23ZCqglF,42,0.539,0.783,0.0267,2.67e-05,"(0.077,)",-7.096,132.05,0.435
spotify:track:1LtJ3tdHHxeV8mQ4hhFLCB,0,0.768,0.268,0.161,0.201,"(0.258,)",-14.208,124.896,0.143
spotify:track:4mXQQJi5S5SJlvn7os8Pb4,43,0.467,0.845,0.0785,0.0,"(0.112,)",-6.131,179.949,0.651
spotify:track:61e3DNqX7Xyl6g9o8LZI22,47,0.224,0.821,0.0516,0.000246,"(0.265,)",-2.455,86.297,0.503
spotify:track:0pD53nbF96kifiPDFOsqx0,13,0.665,0.491,0.0387,0.746,"(0.111,)",-11.338,80.007,0.0973
spotify:track:6gqWDMH9dQFLMQyeIq4Mlm,37,0.529,0.0146,0.0773,0.0,"(0.204,)",-20.94,127.005,0.342
spotify:track:2chXuZdXSwtj7V24wrApBa,45,0.524,0.339,0.0689,0.708,"(0.254,)",-9.96,115.3,0.259
